race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
Canadian Grand Prix,RUS,Mercedes,1.0,81.852,26.498000000000005,24.278,31.076,MEDIUM,4.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,VER,Red Bull Racing,1.0,82.549,27.06800000000001,24.494,30.987,MEDIUM,4.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,ANT,Mercedes,1.0,83.319,27.531000000000006,24.897,30.891,MEDIUM,7.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,PIA,McLaren,1.0,83.939,27.789999999999996,25.016,31.133,MEDIUM,1.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,HAM,Ferrari,1.0,84.695,28.143999999999988,25.117,31.434,MEDIUM,1.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,ALO,Aston Martin,1.0,85.331,28.433000000000003,25.305,31.593,MEDIUM,5.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,NOR,McLaren,1.0,85.741,28.792999999999996,25.474,31.474,HARD,1.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,LEC,Ferrari,1.0,86.33,29.131999999999994,25.593,31.605,HARD,1.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,HUL,Kick Sauber,1.0,87.961,30.191999999999997,26.2,31.569,MEDIUM,1.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,COL,Alpine,1.0,88.837,29.686,26.82,32.331,MEDIUM,6.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,HAD,Racing Bulls,1.0,89.263,30.453000000000003,26.2,32.61,MEDIUM,1.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,ALB,Williams,1.0,89.443,29.917,26.72,32.806,MEDIUM,5.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,BEA,Haas F1 Team,1.0,89.938,30.673000000000002,26.477,32.788,MEDIUM,1.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,OCO,Haas F1 Team,1.0,90.156,30.881000000000007,26.562,32.713,HARD,1.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,BOR,Kick Sauber,1.0,90.643,31.428000000000004,26.773,32.442,HARD,1.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,SAI,Williams,1.0,90.973,31.23300000000001,26.769,32.971,HARD,1.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,TSU,Red Bull Racing,1.0,91.334,31.852000000000004,26.598,32.884,HARD,1.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,STR,Aston Martin,1.0,91.602,32.263,26.575,32.764,HARD,2.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,LAW,Racing Bulls,1.0,93.298,36.268,25.378,31.652,HARD,2.0,1.0,1,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,GAS,Alpine,1.0,94.327,37.092,25.475,31.76,HARD,1.0,1.0,1,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,RUS,Mercedes,2.0,76.437,21.478,24.203,30.756,MEDIUM,5.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,VER,Red Bull Racing,2.0,76.418,21.742,24.204,30.472,MEDIUM,5.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,ANT,Mercedes,2.0,76.584,21.887,24.289,30.408,MEDIUM,8.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,PIA,McLaren,2.0,77.51,22.049,24.57,30.891,MEDIUM,2.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,HAM,Ferrari,2.0,77.32,22.135,24.335,30.85,MEDIUM,2.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,ALO,Aston Martin,2.0,77.402,21.918,24.579,30.905,MEDIUM,6.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,NOR,McLaren,2.0,77.686,22.136,24.607,30.943,HARD,2.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,LEC,Ferrari,2.0,77.784,22.401,24.527,30.856,HARD,2.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,HUL,Kick Sauber,2.0,77.872,22.23,24.535,31.107,MEDIUM,2.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,COL,Alpine,2.0,78.477,22.294,24.724,31.459,MEDIUM,7.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,HAD,Racing Bulls,2.0,78.419,22.656,24.604,31.159,MEDIUM,2.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,ALB,Williams,2.0,78.73,22.801,24.854,31.075,MEDIUM,6.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,BEA,Haas F1 Team,2.0,78.823,22.755,24.979,31.089,MEDIUM,2.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,OCO,Haas F1 Team,2.0,79.243,22.95,25.028,31.265,HARD,2.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,BOR,Kick Sauber,2.0,79.187,22.856,25.008,31.323,HARD,2.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,SAI,Williams,2.0,79.473,22.98,25.104,31.389,HARD,2.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,TSU,Red Bull Racing,2.0,80.04,23.345,25.01,31.685,HARD,2.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,STR,Aston Martin,2.0,80.175,23.349,25.353,31.473,HARD,3.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,LAW,Racing Bulls,2.0,79.524,22.605,25.431,31.488,HARD,3.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,GAS,Alpine,2.0,79.336,22.563,25.352,31.421,HARD,2.0,1.0,0,23.6,50.1,False,0,0,0,0
Canadian Grand Prix,RUS,Mercedes,3.0,76.253,21.332,24.19,30.731,MEDIUM,6.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,VER,Red Bull Racing,3.0,76.094,21.507,24.075,30.512,MEDIUM,6.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,ANT,Mercedes,3.0,76.878,21.641,24.372,30.865,MEDIUM,9.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,PIA,McLaren,3.0,76.714,21.594,24.328,30.792,MEDIUM,3.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,HAM,Ferrari,3.0,76.867,21.964,24.229,30.674,MEDIUM,3.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,ALO,Aston Martin,3.0,77.113,21.82,24.524,30.769,MEDIUM,7.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,NOR,McLaren,3.0,77.355,22.023,24.415,30.917,HARD,3.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,LEC,Ferrari,3.0,77.953,22.212,24.554,31.187,HARD,3.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,HUL,Kick Sauber,3.0,77.854,22.057,24.513,31.284,MEDIUM,3.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,COL,Alpine,3.0,77.7,21.921,24.555,31.224,MEDIUM,8.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,HAD,Racing Bulls,3.0,77.597,22.237,24.522,30.838,MEDIUM,3.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,ALB,Williams,3.0,78.131,22.373,24.779,30.979,MEDIUM,7.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,BEA,Haas F1 Team,3.0,78.008,22.371,24.733,30.904,MEDIUM,3.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,OCO,Haas F1 Team,3.0,78.014,22.215,24.763,31.036,HARD,3.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,BOR,Kick Sauber,3.0,78.174,22.31,24.886,30.978,HARD,3.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,SAI,Williams,3.0,78.399,22.361,24.852,31.186,HARD,3.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,TSU,Red Bull Racing,3.0,78.366,22.248,24.801,31.317,HARD,3.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,STR,Aston Martin,3.0,78.838,22.448,25.255,31.135,HARD,4.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,LAW,Racing Bulls,3.0,78.482,22.285,24.945,31.252,HARD,4.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,GAS,Alpine,3.0,78.835,22.54,24.968,31.327,HARD,3.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,RUS,Mercedes,4.0,75.986,21.298,24.026,30.662,MEDIUM,7.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,VER,Red Bull Racing,4.0,75.925,21.552,24.012,30.361,MEDIUM,7.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,ANT,Mercedes,4.0,76.357,21.512,24.21,30.635,MEDIUM,10.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,PIA,McLaren,4.0,76.537,21.416,24.162,30.959,MEDIUM,4.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,HAM,Ferrari,4.0,76.982,21.746,24.263,30.973,MEDIUM,4.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,ALO,Aston Martin,4.0,76.677,21.424,24.298,30.955,MEDIUM,8.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,NOR,McLaren,4.0,77.066,21.727,24.512,30.826999999999998,HARD,4.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,LEC,Ferrari,4.0,77.884,21.984,24.708,31.192,HARD,4.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,HUL,Kick Sauber,4.0,77.895,22.118,24.652,31.125,MEDIUM,4.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,COL,Alpine,4.0,77.551,21.777,24.649,31.125,MEDIUM,9.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,HAD,Racing Bulls,4.0,77.88,22.302,24.746,30.832,MEDIUM,4.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,ALB,Williams,4.0,77.476,21.885,24.701,30.89,MEDIUM,8.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,BEA,Haas F1 Team,4.0,77.716,22.04,24.675,31.001,MEDIUM,4.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,OCO,Haas F1 Team,4.0,77.581,22.031,24.617,30.933,HARD,4.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,BOR,Kick Sauber,4.0,77.507,22.155,24.53,30.822,HARD,4.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,SAI,Williams,4.0,77.511,21.987,24.714,30.81,HARD,4.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,TSU,Red Bull Racing,4.0,77.777,21.995,24.627,31.155,HARD,4.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,STR,Aston Martin,4.0,78.142,22.232,24.622,31.288,HARD,5.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,LAW,Racing Bulls,4.0,78.602,22.325,24.947,31.33,HARD,5.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,GAS,Alpine,4.0,78.711,22.3,25.008,31.403,HARD,4.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,RUS,Mercedes,5.0,75.808,21.283,23.963,30.562,MEDIUM,8.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,VER,Red Bull Racing,5.0,75.901,21.429,24.059,30.413,MEDIUM,8.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,ANT,Mercedes,5.0,76.186,21.29,24.224,30.672,MEDIUM,11.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,PIA,McLaren,5.0,76.397,21.535,24.127,30.735,MEDIUM,5.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,HAM,Ferrari,5.0,76.507,21.472,24.104,30.931,MEDIUM,5.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,ALO,Aston Martin,5.0,76.669,21.586,24.174,30.909,MEDIUM,9.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,NOR,McLaren,5.0,76.896,21.604,24.461,30.831,HARD,5.0,1.0,0,23.6,50.2,False,0,0,0,0
Canadian Grand Prix,LEC,Ferrari,5.0,77.574,22.009,24.576999999999998,30.988,HARD,5.0,1.0,0,23.9,50.1,False,0,0,0,0
Canadian Grand Prix,HUL,Kick Sauber,5.0,77.345,21.754,24.613,30.978,MEDIUM,5.0,1.0,0,23.9,50.1,False,0,0,0,0
Canadian Grand Prix,COL,Alpine,5.0,77.306,21.832,24.568,30.906,MEDIUM,10.0,1.0,0,23.9,50.1,False,0,0,0,0
Canadian Grand Prix,HAD,Racing Bulls,5.0,77.198,22.054,24.462,30.682,MEDIUM,5.0,1.0,0,23.9,50.1,False,0,0,0,0
Canadian Grand Prix,ALB,Williams,5.0,77.509,21.936,24.776,30.797,MEDIUM,9.0,1.0,0,23.9,50.1,False,0,0,0,0
Canadian Grand Prix,BEA,Haas F1 Team,5.0,77.359,21.958,24.548000000000002,30.853,MEDIUM,5.0,1.0,0,23.9,50.1,False,0,0,0,0
Canadian Grand Prix,OCO,Haas F1 Team,5.0,77.493,22.145,24.55,30.798000000000002,HARD,5.0,1.0,0,23.9,50.1,False,0,0,0,0
Canadian Grand Prix,BOR,Kick Sauber,5.0,77.589,22.182,24.732,30.675,HARD,5.0,1.0,0,23.9,50.1,False,0,0,0,0
Canadian Grand Prix,SAI,Williams,5.0,77.317,21.964,24.572,30.781,HARD,5.0,1.0,0,23.9,50.1,False,0,0,0,0
Canadian Grand Prix,TSU,Red Bull Racing,5.0,77.394,21.757,24.646,30.991,HARD,5.0,1.0,0,23.9,50.1,False,0,0,0,0
Canadian Grand Prix,STR,Aston Martin,5.0,77.878,22.049,24.641,31.188,HARD,6.0,1.0,0,23.9,50.1,False,0,0,0,0
Canadian Grand Prix,LAW,Racing Bulls,5.0,77.997,22.047,24.975,30.975,HARD,6.0,1.0,0,23.9,50.1,False,0,0,0,0
Canadian Grand Prix,GAS,Alpine,5.0,78.187,21.97,24.949,31.268,HARD,5.0,1.0,0,23.9,50.1,False,0,0,0,0
Canadian Grand Prix,RUS,Mercedes,6.0,75.984,21.239,23.965,30.78,MEDIUM,9.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,VER,Red Bull Racing,6.0,76.531,21.599,24.128,30.804,MEDIUM,9.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,ANT,Mercedes,6.0,76.159,21.314,24.167,30.678,MEDIUM,12.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,PIA,McLaren,6.0,76.209,21.338,24.145,30.726,MEDIUM,6.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,HAM,Ferrari,6.0,76.506,21.455,24.154,30.897,MEDIUM,6.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,ALO,Aston Martin,6.0,76.51,21.399,24.261,30.85,MEDIUM,10.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,NOR,McLaren,6.0,76.657,21.389,24.47,30.798000000000002,HARD,6.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,LEC,Ferrari,6.0,76.808,21.593,24.348,30.867,HARD,6.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,HUL,Kick Sauber,6.0,77.295,21.673000000000002,24.538,31.084,MEDIUM,6.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,COL,Alpine,6.0,77.402,21.783,24.464,31.155,MEDIUM,11.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,HAD,Racing Bulls,6.0,77.462,22.054,24.597,30.811,MEDIUM,6.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,ALB,Williams,6.0,77.302,21.774,24.67,30.858,MEDIUM,10.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,BEA,Haas F1 Team,6.0,77.39,22.072,24.576999999999998,30.741,MEDIUM,6.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,OCO,Haas F1 Team,6.0,77.359,22.038,24.507,30.814,HARD,6.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,BOR,Kick Sauber,6.0,77.249,21.857,24.606,30.786,HARD,6.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,SAI,Williams,6.0,77.611,21.918,24.788,30.905,HARD,6.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,TSU,Red Bull Racing,6.0,77.357,21.748,24.636,30.973,HARD,6.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,STR,Aston Martin,6.0,77.596,21.863,24.616,31.117,HARD,7.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,LAW,Racing Bulls,6.0,77.679,21.783,24.845,31.051,HARD,7.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,GAS,Alpine,6.0,77.86,21.851,24.814,31.195,HARD,6.0,1.0,0,24.0,50.0,False,0,0,0,0
Canadian Grand Prix,RUS,Mercedes,7.0,76.384,21.373,24.161,30.85,MEDIUM,10.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,VER,Red Bull Racing,7.0,76.6,21.56,24.243,30.797,MEDIUM,10.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,ANT,Mercedes,7.0,76.295,21.34,24.272,30.683,MEDIUM,13.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,PIA,McLaren,7.0,76.456,21.362,24.208,30.886,MEDIUM,7.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,HAM,Ferrari,7.0,76.498,21.429,24.153,30.916,MEDIUM,7.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,ALO,Aston Martin,7.0,76.552,21.483,24.233,30.836,MEDIUM,11.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,NOR,McLaren,7.0,76.666,21.393,24.468,30.805,HARD,7.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,LEC,Ferrari,7.0,77.314,21.688,24.541,31.085,HARD,7.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,HUL,Kick Sauber,7.0,76.987,21.438,24.608,30.941,MEDIUM,7.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,COL,Alpine,7.0,77.446,21.592,24.479,31.375,MEDIUM,12.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,HAD,Racing Bulls,7.0,77.412,21.846,24.564,31.002,MEDIUM,7.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,ALB,Williams,7.0,77.312,21.869,24.617,30.826,MEDIUM,11.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,BEA,Haas F1 Team,7.0,77.297,21.94,24.602,30.755,MEDIUM,7.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,OCO,Haas F1 Team,7.0,77.41,21.904,24.726,30.78,HARD,7.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,BOR,Kick Sauber,7.0,77.551,22.021,24.713,30.817,HARD,7.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,SAI,Williams,7.0,77.634,21.833,24.725,31.076,HARD,7.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,TSU,Red Bull Racing,7.0,77.516,21.865,24.572,31.079,HARD,7.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,STR,Aston Martin,7.0,77.476,21.795,24.617,31.064,HARD,8.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,LAW,Racing Bulls,7.0,77.633,21.803,24.879,30.951,HARD,8.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,GAS,Alpine,7.0,77.763,21.829,24.655,31.279,HARD,7.0,1.0,0,24.0,49.9,False,0,0,0,0
Canadian Grand Prix,RUS,Mercedes,8.0,76.413,21.47,24.177,30.766,MEDIUM,11.0,1.0,0,23.9,49.9,False,0,0,0,0
Canadian Grand Prix,VER,Red Bull Racing,8.0,76.64,21.402,24.412,30.826,MEDIUM,11.0,1.0,0,23.9,49.9,False,0,0,0,0
Canadian Grand Prix,ANT,Mercedes,8.0,76.436,21.342,24.315,30.779,MEDIUM,14.0,1.0,0,23.9,49.9,False,0,0,0,0
Canadian Grand Prix,PIA,McLaren,8.0,76.381,21.373,24.227,30.781,MEDIUM,8.0,1.0,0,23.9,49.9,False,0,0,0,0
Canadian Grand Prix,HAM,Ferrari,8.0,76.433,21.413,24.126,30.894,MEDIUM,8.0,1.0,0,23.9,49.9,False,0,0,0,0
Canadian Grand Prix,ALO,Aston Martin,8.0,76.369,21.361,24.24,30.768,MEDIUM,12.0,1.0,0,23.9,49.9,False,0,0,0,0
Canadian Grand Prix,NOR,McLaren,8.0,76.488,21.349,24.426,30.713,HARD,8.0,1.0,0,23.9,49.9,False,0,0,0,0
Canadian Grand Prix,LEC,Ferrari,8.0,76.43,21.531,24.235,30.664,HARD,8.0,1.0,0,23.9,49.9,False,0,0,0,0
Canadian Grand Prix,HUL,Kick Sauber,8.0,77.35,21.624,24.541,31.185,MEDIUM,8.0,1.0,0,23.9,49.9,False,0,0,0,0
Canadian Grand Prix,COL,Alpine,8.0,77.262,21.641,24.442,31.179,MEDIUM,13.0,1.0,0,23.9,49.9,False,0,0,0,0
Canadian Grand Prix,HAD,Racing Bulls,8.0,77.301,21.858,24.572,30.871,MEDIUM,8.0,1.0,0,23.9,49.9,False,0,0,0,0
Canadian Grand Prix,ALB,Williams,8.0,77.5,21.858,24.711,30.931,MEDIUM,12.0,1.0,0,23.9,49.9,False,0,0,0,0
Canadian Grand Prix,BEA,Haas F1 Team,8.0,77.491,22.036,24.602,30.853,MEDIUM,8.0,1.0,0,23.9,49.9,False,0,0,0,0
Canadian Grand Prix,OCO,Haas F1 Team,8.0,77.497,22.062,24.616,30.819,HARD,8.0,1.0,0,23.9,49.9,False,0,0,0,0
Canadian Grand Prix,BOR,Kick Sauber,8.0,77.572,21.992,24.794,30.786,HARD,8.0,1.0,0,23.8,49.9,False,0,0,0,0
Canadian Grand Prix,SAI,Williams,8.0,77.28,21.791,24.674,30.815,HARD,8.0,1.0,0,23.8,49.9,False,0,0,0,0
Canadian Grand Prix,TSU,Red Bull Racing,8.0,77.57,21.809,24.681,31.08,HARD,8.0,1.0,0,23.8,49.9,False,0,0,0,0
Canadian Grand Prix,STR,Aston Martin,8.0,77.636,21.818,24.685,31.133,HARD,9.0,1.0,0,23.8,49.9,False,0,0,0,0
Canadian Grand Prix,LAW,Racing Bulls,8.0,77.517,21.674,24.776,31.067,HARD,9.0,1.0,0,23.8,49.9,False,0,0,0,0
Canadian Grand Prix,GAS,Alpine,8.0,77.699,21.714,24.633,31.352,HARD,8.0,1.0,0,23.8,49.9,False,0,0,0,0
Canadian Grand Prix,RUS,Mercedes,9.0,76.608,21.44,24.282,30.886,MEDIUM,12.0,1.0,0,23.8,49.9,False,0,0,0,0
Canadian Grand Prix,VER,Red Bull Racing,9.0,76.762,21.484,24.36,30.918,MEDIUM,12.0,1.0,0,23.8,49.9,False,0,0,0,0
Canadian Grand Prix,ANT,Mercedes,9.0,76.439,21.368,24.347,30.724,MEDIUM,15.0,1.0,0,23.8,49.9,False,0,0,0,0
Canadian Grand Prix,PIA,McLaren,9.0,76.714,21.353,24.211,31.15,MEDIUM,9.0,1.0,0,23.6,49.9,False,0,0,0,0
Canadian Grand Prix,HAM,Ferrari,9.0,76.657,21.576,24.202,30.879,MEDIUM,9.0,1.0,0,23.6,49.9,False,0,0,0,0
Canadian Grand Prix,ALO,Aston Martin,9.0,77.208,21.558,24.507,31.143,MEDIUM,13.0,1.0,0,23.6,49.9,False,0,0,0,0
Canadian Grand Prix,NOR,McLaren,9.0,76.704,21.475,24.328,30.901,HARD,9.0,1.0,0,23.6,49.9,False,0,0,0,0
Canadian Grand Prix,LEC,Ferrari,9.0,76.86,21.636,24.355,30.869,HARD,9.0,1.0,0,23.6,49.9,False,0,0,0,0
Canadian Grand Prix,HUL,Kick Sauber,9.0,77.046,21.492,24.433,31.121,MEDIUM,9.0,1.0,0,23.6,49.9,False,0,0,0,0
Canadian Grand Prix,COL,Alpine,9.0,77.405,21.675,24.493,31.237,MEDIUM,14.0,1.0,0,23.6,49.9,False,0,0,0,0
Canadian Grand Prix,HAD,Racing Bulls,9.0,77.381,21.844,24.568,30.969,MEDIUM,9.0,1.0,0,23.6,49.9,False,0,0,0,0
Canadian Grand Prix,ALB,Williams,9.0,77.275,21.817,24.606,30.852,MEDIUM,13.0,1.0,0,23.6,49.9,False,0,0,0,0
Canadian Grand Prix,BEA,Haas F1 Team,9.0,77.299,22.023,24.468,30.808,MEDIUM,9.0,1.0,0,23.6,49.9,False,0,0,0,0
Canadian Grand Prix,OCO,Haas F1 Team,9.0,77.41,21.98,24.644,30.786,HARD,9.0,1.0,0,23.6,49.9,False,0,0,0,0
Canadian Grand Prix,BOR,Kick Sauber,9.0,77.463,21.966,24.715,30.782,HARD,9.0,1.0,0,23.6,49.9,False,0,0,0,0
Canadian Grand Prix,SAI,Williams,9.0,77.233,21.947,24.548000000000002,30.738,HARD,9.0,1.0,0,23.6,49.9,False,0,0,0,0
Canadian Grand Prix,TSU,Red Bull Racing,9.0,77.445,21.875,24.536,31.034,HARD,9.0,1.0,0,23.6,49.9,False,0,0,0,0
Canadian Grand Prix,STR,Aston Martin,9.0,77.657,21.86,24.667,31.13,HARD,10.0,1.0,0,23.6,49.9,False,0,0,0,0
Canadian Grand Prix,LAW,Racing Bulls,9.0,77.988,22.011,24.815,31.162,HARD,10.0,1.0,0,23.6,49.9,False,0,0,0,0
Canadian Grand Prix,GAS,Alpine,9.0,77.827,21.869,24.653,31.305,HARD,9.0,1.0,0,23.6,49.9,False,0,0,0,0
Canadian Grand Prix,RUS,Mercedes,10.0,76.538,21.417,24.176,30.945,MEDIUM,13.0,1.0,0,23.8,50.4,False,0,0,0,0
Canadian Grand Prix,VER,Red Bull Racing,10.0,76.68,21.536,24.28,30.864,MEDIUM,13.0,1.0,0,23.8,50.4,False,0,0,0,0
Canadian Grand Prix,ANT,Mercedes,10.0,76.562,21.399,24.34,30.823,MEDIUM,16.0,1.0,0,23.8,50.4,False,0,0,0,0
